city,zip,lat,lon
Steinwenden,66879,49.45,7.53333
"Dorfchemnitz bei Sayda Wolfsgrund",09619,50.7742994449119,13.4158393859864
Herren-Sulzbach,67742,49.65,7.53333
"Döbeln",04720,51.1167,13.1167
Budenbach,55469,50.0333,7.56667
"Kröppelshagen-Fahrendorf",21529,53.48588,10.3156
Tutzing,82327,47.9167,11.2833
Straufhain,98646,50.3583,10.7042
"Mühlen Eichsen",19205,53.75891,11.25135
"Sprötau",99610,51.1167,11.2
"Staig (Weihung)",89195,48.3,9.98333
"Röblingen am See",06317,51.4610977134863,11.6697469894409
Priesendorf,96170,49.9,10.7167
Kolbermoor,83059,47.85,12.0667
"Reute (Breisgau)",79276,48.0833,7.81667
Obersulm,74182,49.133,9.383
Liesenich,56858,50.0833,7.28333
"Poppenbüll",25836,54.36090446984,8.76124655051221
"Heede bei Barmstedt",25355,53.783780787891,9.80737869782444
"Mönchsroth",91614,49.0167,10.3667
Bacharach,55422,50.0667,7.76667
"Lorscheid bei Trier",54317,49.7333,6.85
Weira,07806,50.7,11.7167
"Neu Kaliß Heiddorf",19294,53.18591,11.29675
Dickendorf,57520,50.7333,7.85
"Rankwitz Quilitz",17406,53.95668,13.91926
Brunsbek,22946,53.59509,10.26694
Kotzen,14715,52.63996,12.51552
Kaisborstel,25560,54.013794,9.481068
Untermeitingen,86836,48.1667,10.8
"Alsdorf, Eifel",54668,49.8833,6.46667
Prettin,06922,51.66362,12.9254
Melchow,16230,52.77591,13.70492
"Hainrode bei Sangerhausen",06528,51.5004541600458,11.1686311904907
"Lehesten bei Jena",07778,50.9833,11.5833
Rehungen,99759,51.3820143603973,10.5235664550783
Ostrohe,25746,54.214810444152,9.137088806873
"Bad Gandersheim",37581,51.870662,10.024588
"Pölchow",18059,54.01024,12.09624
"Tornitz bei Schönebeck",39249,51.9303301,11.84795
Morschen,34326,51.05,9.6
Gransee,16775,53.00562,13.15121
"Siebeneichen, Kreis Herzogtum Lauenburg",21514,53.51139,10.61771
"Bünde",32257,52.19851,8.58329000000003
Bliedersdorf,21640,53.48135,9.56988
"Ludwigsau, Hessen",36251,50.9,9.76667
"Schwarzenfeld, Oberpfalz",92521,49.3894,12.1397
Vierlinden,15306,52.5150783488059,14.3140141693116
Kulmbach,95326,50.1,11.45
Langerringen,86853,48.15,10.7667
Neubeuern,83115,47.7667,12.15
"Seefeld, Oberbayern",82229,48.0333,11.2
"Stechlin Neuglobsow",16775,53.14365,13.04795
"Malsch bei Wiesloch",69254,49.2472,8.68278
Bromskirchen,59969,51.0833,8.61667
"Brake (Unterweser)",26919,53.32658,8.47806000000003
Dommershausen,56290,50.15,7.4
Neubulach,75387,48.65,8.7
"Merzhausen (Breisgau)",79249,47.9667,7.83333
Theisbergstegen,66871,49.5167,7.45
Friesoythe,26169,53.02458,7.85832000000005
"Liepe bei Eberswalde",16248,52.86227,13.96986
"Horst bei Grimmen Segebadenhau",18519,54.14129,13.19523
"Brühl, Rheinland",50321,50.8333,6.9
Sosa,08326,50.5,12.6667
"Welden bei Augsburg",86465,48.45,10.6667
"Reinberg bei Grimmen Stahlbrode",18519,54.23386,13.28514
"Brauneberg Hirzlei",54470,49.9167,6.98333
Thesenvitz,18528,54.4501,13.38948
"Thörlingen",56291,50.1333,7.53333
"Stein bei Laboe",24235,54.4147079747742,10.2691422611476
Morshausen,56283,50.2,7.43333
Raddestorf,31604,52.4552,8.96346
Deisenhausen,86489,48.25,10.3333
"Lüchow bei Sandesneben",23898,53.6908,10.52954
"Ebersdorf bei Coburg",96237,50.23,11.08
Schneckenhausen,67699,49.5333,7.75
"Borken, Westfalen",46325,51.848372553829,6.85974260314947
"Legde / Quitzöbel Quitzöbel",19336,52.8913,11.9831
Dingolfing,84130,48.6333,12.5
"Großschweidnitz",02708,51.07387,14.6481699999999
Kellenbach,55606,49.85,7.48333
"Gramzow, Uckermark",17291,53.2108,14.00713
"Störkathen",25548,53.980347,9.756469
"Bad Lobenstein Oberlemnitz",07356,50.45,11.65
"Behren-Lübchin",17179,54.02929,12.6650500000001
"Schwedt / Oder Kummerow bei Angermünde",16303,53.14884,14.21521
"Schwedt / Oder Kummerow bei Angermünde",16306,53.14884,14.21521
"Tiefenthal, Pfalz",67311,49.5386,8.10389
Pollhagen,31718,52.3766,9.18808
"Nußloch",69226,49.3239,8.69556
"Putgarten Vitt",18556,54.66594,13.43179
"Wessin Radepohl",19089,53.5676,11.7538500000001
Barmissen,24245,54.2050398276889,10.1753696967095
"Werther bei Nordhausen",99735,51.46823,10.74558
"Bad Rodach",96476,50.3333,10.7833
"Flensburg Engelsby",24943,54.79312,9.47732
"Flensborg Engelsby",24943,54.79312,9.47732
Uetze,31311,52.4645902029321,10.2031554232788
"Döbritschen bei Weimar, Thüringen",99441,50.9167,11.4833
"Görwihl",79733,47.65,8.08333
"Hauenstein, Pfalz",76846,49.1833,7.85
Oberscheidweiler,54533,50.0833,6.93333
"Mintraching, Kreis Regensburg",93098,48.95,12.2333
Gallmersgarten,91605,49.45,10.2667
"Lauenburg / Elbe",21481,53.37582,10.54703
Kleinfurra,99735,51.4139774119926,10.761287116394
"Wittenburg, Mecklenburg Helm bei Hagenow",19243,53.46441,11.10842
"Carlow Klocksdorf",19217,53.74019,10.9301
Levenhagen,17498,54.0885,13.27098
Pleinfeld,91785,49.1,10.9833
Ramstein-Miesenbach,66877,49.45,7.55
"Böhen, Unterallgäu",87736,47.8833,10.3
"Wennbüttel",25767,54.138877232781,9.32349696899013
Jerxheim,38381,52.0835109765412,10.9001502037048
"Tessenow Poitendorf",19376,53.34351,11.86181
Gremersdorf-Buchholz,18461,54.14787,12.8957399999999
"Friedeburgerhütte",06347,51.62426,11.68672
"Bergen (Kreis Celle)",29303,52.80974,9.96279000000004
"Berlin Friedrichshain-Kreuzberg",10243,52.5015,13.43512
"Berlin Friedrichshain-Kreuzberg",10245,52.5015,13.43512
"Berlin Friedrichshain-Kreuzberg",10247,52.5015,13.43512
"Berlin Friedrichshain-Kreuzberg",10249,52.5015,13.43512
"Berlin Friedrichshain-Kreuzberg",10961,52.5015,13.43512
